,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.95,0.85,0.8,0.63,0.69,0.86,0.87,0.63,0.87,0.83,0.83,0.0,0.75
cuberok.csv,0.74,0.62,0.39,0.83,0.0,0.78,0.64,0.62,0.71,0.72,0.72,0.81,0.69
exist.csv,0.49,0.69,0.61,0.71,0.97,0.78,0.75,0.87,0.02,0.84,0.79,0.82,0.86
google-web-toolkit.csv,0.7,0.67,0.82,0.71,0.82,0.75,0.92,0.66,0.81,0.68,0.0,0.65,0.75
gwanted.csv,0.47,0.84,0.62,0.62,0.86,0.83,0.57,0.0,0.75,0.91,0.67,0.92,1.0
ivatamasks.csv,0.53,0.01,0.55,0.93,0.77,0.61,0.59,0.65,0.57,0.85,0.73,0.76,0.5
ivataopenportal.csv,0.8,0.67,0.5,0.84,0.93,0.01,0.63,0.58,0.61,0.71,0.67,0.69,0.65
jaxen.csv,1.0,0.99,0.0,0.97,1.0,1.0,0.99,1.0,0.91,1.0,0.97,1.0,1.0
rockbox.csv,0.66,0.58,0.62,0.7,0.63,0.72,0.62,0.64,0.55,0.76,0.72,0.6,0.03
rodin-b-sharp.csv,0.95,0.77,0.83,0.9,0.98,0.93,0.03,0.82,0.73,0.87,0.9,0.96,0.95
tcl.csv,0.89,0.96,1.0,0.1,0.73,0.86,0.83,1.0,0.96,0.91,0.93,1.0,1.0
umber.csv,0.0,0.75,0.62,0.93,0.64,0.74,0.75,0.72,0.77,0.79,0.78,0.86,1.0
wheat.csv,0.9,0.71,1.01,0.69,0.68,0.76,0.81,0.84,0.76,0.0,0.73,0.79,0.51
