,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.06,0.18,0.24,0.57,0.4,0.17,0.17,0.47,0.16,0.21,0.22,1.0,0.3
cuberok.csv,0.3,0.44,0.77,0.21,1.0,0.27,0.47,0.47,0.41,0.36,0.39,0.25,0.37
exist.csv,0.61,0.36,0.45,0.58,0.06,0.28,0.36,0.17,0.98,0.24,0.28,0.25,0.19
google-web-toolkit.csv,0.41,0.52,0.24,0.44,0.48,0.31,0.12,0.43,0.25,0.4,1.0,0.46,0.36
gwanted.csv,0.67,0.19,0.45,0.66,0.17,0.21,0.52,1.0,0.3,0.13,0.44,0.1,0.0
ivatamasks.csv,0.71,0.99,0.8,0.3,0.51,0.5,0.6,0.58,0.6,0.47,0.54,0.57,0.57
ivataopenportal.csv,0.43,0.43,0.62,0.48,0.38,0.99,0.56,0.64,0.55,0.45,0.55,0.53,0.61
jaxen.csv,0.0,0.01,1.0,0.04,0.0,0.0,0.01,0.0,0.11,0.0,0.04,0.0,0.0
rockbox.csv,0.66,0.57,0.67,0.51,0.64,0.46,0.63,0.56,0.65,0.54,0.56,0.6,0.99
rodin-b-sharp.csv,0.06,0.27,0.23,0.35,0.06,0.09,0.98,0.25,0.32,0.24,0.16,0.05,0.06
tcl.csv,0.24,0.06,0.0,0.92,0.31,0.21,0.21,0.0,0.05,0.13,0.09,0.0,0.0
umber.csv,1.0,0.3,0.45,0.3,0.48,0.33,0.33,0.36,0.35,0.33,0.29,0.24,0.0
wheat.csv,0.19,0.47,0.0,0.4,0.47,0.33,0.29,0.24,0.33,1.0,0.37,0.36,0.6
