,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.7,0.43,0.26,0.0,1.0,0.57,0.42,0.5,0.7,0.29
chaperon.csv,0.69,0.45,0.3,0.57,0.88,0.5,0.36,0.5,0.86,0.29
geotools.csv,0.66,0.34,0.38,0.03,0.93,0.5,0.43,0.63,0.78,0.22
l2j.csv,0.66,0.28,0.42,0.1,0.94,0.68,0.27,0.59,0.82,0.24
mule.csv,0.73,0.75,0.4,0.18,1.0,0.55,0.32,0.62,0.89,0.43
nunit.csv,0.65,0.42,0.24,0.07,0.92,0.44,0.36,0.57,0.79,0.4
primefaces.csv,0.62,0.38,0.38,0.09,0.92,0.34,0.32,0.82,0.82,0.22
springside.csv,0.68,0.55,0.33,0.09,1.0,0.56,0.35,0.6,0.85,0.29
swtfox.csv,0.48,0.32,0.71,0.03,0.87,0.42,0.21,0.53,0.82,0.23
twostep.csv,0.66,0.44,0.43,0.09,1.0,0.71,0.33,0.7,0.8,0.23
