,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.53,0.11,0.34,0.0,0.91,0.67,0.45,0.41,0.54,0.35
chaperon.csv,0.45,0.35,0.3,0.73,0.52,0.41,0.3,0.17,0.7,0.36
geotools.csv,0.69,0.47,0.52,0.06,0.96,0.65,0.5,0.7,0.41,0.34
l2j.csv,0.73,0.35,0.37,0.18,0.42,0.62,0.32,0.72,0.78,0.36
mule.csv,0.72,0.11,0.27,0.27,0.68,0.58,0.39,0.47,0.28,0.55
nunit.csv,0.5,0.49,0.27,0.12,0.32,0.45,0.43,0.57,0.57,0.49
primefaces.csv,0.75,0.53,0.56,0.16,0.77,0.49,0.45,0.82,0.73,0.33
springside.csv,0.69,0.64,0.4,0.17,0.74,0.7,0.5,0.69,0.61,0.43
swtfox.csv,0.13,0.47,0.67,0.06,0.51,0.26,0.27,0.59,0.13,0.35
twostep.csv,0.68,0.56,0.52,0.15,0.68,0.74,0.45,0.51,0.57,0.36
