,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.28,0.04,0.82,0.25,0.0,0.36,0.26,0.52,0.47,0.29
chaperon.csv,0.23,0.18,0.43,0.06,0.75,0.2,0.18,0.15,0.24,0.3
geotools.csv,0.59,0.74,0.82,0.58,1.0,0.53,0.3,0.7,0.2,0.69
l2j.csv,0.64,0.66,0.28,0.54,0.25,0.16,0.43,0.96,0.42,0.56
mule.csv,0.4,0.01,0.18,0.19,0.0,0.29,0.43,0.33,0.05,0.26
nunit.csv,0.35,0.4,0.57,0.56,0.25,0.33,0.37,0.63,0.32,0.24
primefaces.csv,0.89,0.76,0.98,0.65,0.75,1.0,0.6,0.26,0.38,0.64
springside.csv,0.49,0.31,0.66,0.6,0.0,0.42,0.63,0.78,0.22,0.53
swtfox.csv,0.13,0.9,0.15,0.6,0.75,0.16,0.56,0.89,0.04,0.58
twostep.csv,0.54,0.5,0.52,0.44,0.0,0.18,0.55,0.26,0.28,0.66
