,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.66,0.91,0.0,0.37,0.47,0.77,0.0,0.86,0.93,0.5,0.0,0.67
fontforge.csv,0.43,0.32,0.4,0.37,0.33,0.36,0.37,0.43,0.43,0.37,0.38,0.43,0.46
gmerlin.csv,0.0,0.31,0.41,0.37,0.0,0.35,0.36,0.0,0.41,0.0,0.0,0.43,0.38
hatari.csv,0.45,0.44,0.55,0.45,0.42,0.49,0.46,0.27,0.42,0.35,0.41,0.66,0.54
jcl.csv,0.47,0.43,0.47,0.62,0.41,0.42,0.4,0.41,0.51,0.41,0.56,0.5,0.56
ltp.csv,0.82,0.36,0.46,0.62,0.48,0.42,0.44,0.33,0.57,0.6,0.46,0.96,0.71
net-snmp.csv,0.5,0.42,0.46,0.39,0.34,0.41,0.68,0.29,0.39,0.39,0.71,0.47,0.42
opde.csv,0.4,0.4,0.42,0.64,0.33,0.45,0.52,0.8,0.51,0.0,0.46,0.4,0.52
powerfolder-.csv,0.35,0.5,0.5,0.34,0.53,0.66,0.4,0.27,0.38,0.35,0.34,0.37,0.37
qlc.csv,0.88,0.29,0.88,0.53,0.33,0.44,0.89,0.75,0.5,0.44,0.44,0.92,0.52
tcl.csv,0.52,0.41,0.56,0.4,0.52,0.56,0.49,0.0,0.69,0.48,0.0,0.95,0.71
wxstudio.csv,0.57,0.64,0.65,0.55,0.64,0.54,0.52,0.31,0.72,0.41,0.8,0.47,0.41
