,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.42,0.48,0.0,0.96,0.62,0.0,0.04,0.0,0.15,0.07,0.0,0.0
fontforge.csv,0.78,0.9,0.9,1.0,1.0,0.73,1.0,0.79,0.78,1.0,1.0,0.84,0.81
gmerlin.csv,0.0,0.94,0.93,1.0,0.0,0.88,1.0,0.0,0.94,0.0,0.0,0.62,0.76
hatari.csv,0.68,0.68,0.69,0.72,0.79,0.56,1.0,0.88,0.94,0.87,0.64,0.41,0.73
jcl.csv,0.88,0.58,0.79,0.52,0.83,0.59,1.0,0.58,0.56,0.72,0.79,0.59,0.51
ltp.csv,0.29,0.84,0.86,0.64,0.79,0.79,0.0,0.96,0.61,0.59,0.79,0.22,0.51
net-snmp.csv,0.66,0.81,0.69,0.8,0.83,0.91,1.0,1.0,1.0,0.67,0.21,0.59,0.73
opde.csv,1.0,0.65,1.0,0.48,0.98,0.56,1.0,0.08,0.61,0.0,0.79,0.59,0.92
powerfolder-.csv,0.61,0.74,0.41,0.56,0.26,0.35,1.0,0.75,0.67,0.59,0.71,0.62,0.62
qlc.csv,0.2,0.87,0.17,0.52,1.0,0.5,1.0,0.08,0.61,0.51,0.64,0.09,0.3
tcl.csv,0.49,0.65,0.62,0.84,0.63,0.59,0.0,0.0,0.61,0.74,0.0,0.16,0.49
wxstudio.csv,0.61,0.29,0.45,0.4,0.35,0.42,1.0,0.83,0.17,0.72,0.0,0.56,0.76
