,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.44,0.25,1.0,0.7,0.5,0.97,0.12,0.61,0.8,0.64,0.12,0.34,0.19
emono.csv,0.94,0.75,1.0,0.74,0.74,0.85,0.79,1.0,0.8,1.0,0.62,0.83,0.69
freedom-erp.csv,0.12,0.44,0.67,0.17,0.0,0.0,0.04,0.72,0.0,0.27,0.38,0.17,0.16
haggle.csv,0.25,0.46,0.0,0.26,0.62,0.26,0.27,0.0,0.2,0.36,0.25,0.1,0.12
jbpm.csv,0.12,0.77,0.0,0.09,0.15,0.0,0.02,0.21,0.0,0.09,0.0,0.03,0.0
jgossipforum.csv,0.44,0.19,0.0,0.61,0.39,0.31,0.14,0.03,1.0,0.36,0.75,0.48,0.31
joustsim.csv,0.31,0.79,0.33,0.96,0.65,0.1,0.61,0.15,1.0,0.91,0.88,0.69,0.61
log4net.csv,0.56,0.25,1.0,0.17,0.07,0.64,0.12,0.25,0.0,0.73,0.5,0.1,0.31
madman.csv,0.56,0.29,0.0,0.13,0.36,0.13,0.24,0.04,0.6,0.18,1.0,0.38,0.24
mediate.csv,0.88,0.75,0.67,0.39,0.39,0.69,0.23,0.18,0.8,0.55,0.25,0.45,0.22
pustefix.csv,0.0,0.5,0.33,0.7,0.18,0.03,0.63,0.08,0.0,0.0,0.5,0.45,0.31
synecdoche.csv,0.38,0.63,0.67,0.57,0.18,0.59,0.51,0.98,0.6,0.73,1.0,0.66,0.99
tmva.csv,0.94,1.0,0.67,0.48,0.66,1.0,0.77,1.0,0.8,1.0,0.88,0.38,0.52
