,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.67,0.59,0.74,0.95,0.8,0.76,0.65,0.63,0.58,0.58,0.37,0.71,0.58
gamestone.csv,0.93,0.88,0.75,0.9,0.92,0.75,0.83,0.72,0.5,0.8,0.83,0.7,0.41
gbif-providertoolkit.csv,0.93,0.86,0.89,0.67,0.92,0.5,0.75,0.83,0.83,0.5,0.0,0.83,0.94
growl-for-windows.csv,0.52,0.57,0.48,0.44,0.44,0.48,0.45,0.53,0.43,0.55,0.57,0.61,0.53
gss.csv,0.44,0.59,0.36,0.33,0.33,0.48,0.31,0.42,0.38,0.43,0.4,0.35,0.38
heekscad.csv,0.44,0.48,0.38,0.32,0.38,0.57,0.35,0.43,0.41,0.42,0.43,0.36,0.38
igarden.csv,0.73,0.91,0.95,0.7,0.83,0.94,0.65,0.93,0.45,0.79,0.86,0.94,0.68
levent.csv,0.46,0.8,0.56,0.64,0.42,0.5,0.48,0.57,0.45,0.67,0.48,0.4,0.58
openmsx.csv,0.54,0.6,0.65,0.64,0.47,0.72,0.41,0.67,0.44,0.47,0.38,0.47,0.39
pnotepad.csv,0.42,0.37,0.33,0.31,0.33,0.38,0.28,0.38,0.35,0.4,0.33,0.32,0.31
quark.csv,0.88,0.0,0.0,0.83,0.5,0.0,0.0,0.67,0.85,0.0,0.75,0.0,0.68
tango-cs.csv,0.51,0.71,0.53,0.42,0.73,0.83,0.89,0.58,0.45,0.53,0.62,0.62,0.61
xcsoar.csv,0.39,0.43,0.49,0.53,0.34,0.46,0.36,0.48,0.34,0.5,0.55,0.68,0.38
