,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,3228.5,99.0,296.5,97.5,293.5,2312.0,98.5,98.5,390.5,99.0,744.5
gstreamer.csv,1300.5,99.0,296.0,196.5,292.5,1232.0,98.5,98.5,291.5,99.0,270.5
ktc.csv,370.5,99.0,197.5,184.5,94.5,486.5,98.5,97.5,194.0,99.0,469.5
mbse.csv,3051.5,98.5,98.5,97.5,293.5,1176.5,98.5,98.5,193.0,99.0,279.5
nebuladevice.csv,2074.0,97.5,18.5,92.5,293.5,1314.0,194.0,98.5,94.5,191.0,464.0
neoengine.csv,655.0,99.0,494.0,196.5,92.5,2042.5,98.5,197.5,290.5,99.0,663.0
openmalaria.csv,2651.5,99.0,98.5,97.5,293.5,1645.0,98.5,196.5,291.5,99.0,472.5
rtrt-on-gpu.csv,2477.5,198.0,395.0,97.5,97.5,190.5,98.5,98.5,194.5,99.0,280.5
salasaga.csv,1118.0,198.0,197.5,127.0,293.5,793.0,94.5,197.5,92.5,99.0,573.0
skia.csv,750.5,99.0,278.5,85.5,386.0,642.0,98.5,97.5,193.0,99.0,268.5
xemeiah.csv,556.0,297.0,296.5,40.5,386.0,623.5,98.5,197.5,291.5,99.0,646.5
