,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.97,0.84,0.86,0.93,0.76,0.7,0.83,0.82,1.0,0.87,0.96
gstreamer.csv,0.77,0.78,0.86,0.83,0.75,0.4,0.66,0.86,0.87,0.7,0.57
ktc.csv,0.73,0.75,0.78,0.6,0.24,0.3,0.48,0.64,0.6,0.61,0.57
mbse.csv,0.63,0.47,0.68,0.71,0.51,0.6,0.38,0.75,0.8,0.35,0.48
nebuladevice.csv,0.62,0.4,0.0,0.48,0.3,0.2,0.15,0.39,0.73,0.05,0.48
neoengine.csv,0.44,0.68,1.0,0.69,0.15,0.7,0.39,0.96,0.8,0.94,0.74
openmalaria.csv,0.97,0.74,0.85,0.76,0.72,0.6,0.68,0.57,0.87,0.68,0.91
rtrt-on-gpu.csv,0.58,0.57,0.95,0.62,0.39,0.7,0.67,0.93,0.67,0.72,0.74
salasaga.csv,0.52,0.5,0.62,0.31,0.87,0.5,0.28,0.79,0.27,0.74,0.78
skia.csv,0.69,0.52,0.48,0.4,0.55,0.3,0.29,0.39,0.67,0.36,0.57
xemeiah.csv,0.6,0.87,0.89,0.19,0.78,0.9,0.45,0.75,0.27,0.78,0.74
