,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.81,0.7,0.7,0.5,0.42,0.36,0.47,0.71,0.58,0.66,0.61,0.44,0.75,0.58,0.53,0.72,1.0,0.68
cornerstone.csv,0.5,0.27,0.33,0.38,0.22,0.3,0.13,0.29,0.01,0.06,0.71,0.59,0.21,0.35,0.05,0.48,0.5,0.05
emeraldemu.csv,0.88,0.65,0.82,1.0,0.16,0.24,0.53,0.71,0.34,0.75,0.65,0.11,0.27,0.0,0.49,0.58,0.5,0.68
grafx2.csv,0.89,0.78,0.61,0.88,0.4,0.37,0.53,0.65,0.46,0.62,0.67,0.81,0.56,0.72,0.78,0.74,0.5,0.64
jahshakafx.csv,0.83,0.69,0.88,0.67,0.32,0.26,0.47,0.8,0.53,0.53,0.67,0.3,0.59,0.49,0.64,0.67,1.0,0.75
maya-work-in-progress.csv,0.94,0.82,0.79,0.54,0.88,0.61,0.87,0.88,0.83,0.88,0.98,0.96,0.89,0.88,0.87,0.9,0.75,0.71
novembre.csv,0.46,0.5,0.55,0.25,0.08,0.33,0.67,0.4,0.46,0.5,0.43,0.33,0.12,0.28,0.63,0.49,0.5,0.16
ns-3.csv,0.78,0.71,0.48,0.58,0.4,0.7,1.0,0.46,0.63,0.5,0.53,1.0,0.86,0.86,0.64,0.91,0.75,0.7
nullc.csv,0.77,1.0,1.0,1.0,0.64,0.45,0.73,0.71,0.47,0.34,0.78,0.37,0.69,0.6,0.64,0.9,0.75,0.73
open-beos.csv,0.86,0.82,0.64,0.79,0.48,0.41,0.8,0.79,0.64,0.38,0.37,1.0,0.73,0.98,0.71,0.76,1.0,0.7
pixel-commandos.csv,0.03,0.56,0.24,0.54,0.2,0.16,0.27,0.14,0.12,0.06,0.06,0.0,0.12,0.4,0.43,0.27,1.0,0.25
planeshift.csv,0.98,0.96,0.94,1.0,0.8,0.74,0.8,0.87,0.9,0.78,0.69,0.93,0.69,0.72,0.84,0.89,0.5,0.88
plee-the-bear.csv,0.76,0.41,0.79,0.04,0.4,0.57,0.53,0.59,0.7,0.66,0.55,0.59,0.59,0.63,0.59,0.51,1.0,0.7
reaper-ecad.csv,0.26,0.14,0.09,0.75,0.16,0.03,0.07,0.19,0.05,0.03,0.14,0.0,0.06,0.0,0.03,0.14,0.25,0.02
sbml.csv,0.83,0.75,0.82,1.0,0.34,0.55,0.73,0.92,0.61,0.84,0.92,0.96,0.8,0.56,0.74,0.68,1.0,0.25
unimrcp.csv,0.86,0.65,0.61,0.88,0.38,0.36,0.67,0.56,0.38,0.66,0.73,0.7,0.5,0.44,0.54,0.73,0.5,0.75
unladen-swallow.csv,0.22,0.44,0.42,0.04,0.2,0.33,0.47,0.42,0.35,0.34,0.31,0.74,0.38,0.44,0.12,0.53,0.5,0.14
zxing.csv,0.75,0.76,0.76,0.75,0.58,0.24,0.6,0.65,0.4,0.34,0.78,0.26,0.68,0.42,0.51,0.75,0.75,0.77
