,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.77,0.67,0.02,0.56,0.69
elmo.csv,0.2,0.98,0.86,0.94,0.85
mscore.csv,0.63,0.47,0.49,0.54,0.03
tolven.csv,1.02,0.98,0.74,0.16,0.94
xbplayer.csv,1.01,0.05,0.69,0.51,0.72
