,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.33,0.31,0.53,0.42,0.35,0.3,0.48,0.47,0.39,0.58,0.4,0.34,0.4,0.43,0.45,0.29
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.45,0.62,0.54,0.5
bionote.csv,0.43,0.32,0.7,0.9,0.73,0.67,0.9,0.55,0.89,0.5,0.69,0.4,0.56,0.48,0.66,0.37
bnetd.csv,0.35,0.39,0.53,0.46,0.75,0.57,0.7,0.39,0.5,0.41,0.42,0.33,0.41,0.39,0.47,0.32
elvishrayrenderer.csv,0.38,0.37,0.5,0.32,0.39,0.5,0.64,0.88,0.96,0.45,0.61,0.41,0.42,0.57,0.46,0.36
emisview.csv,0.56,0.0,0.67,0.61,0.5,0.52,0.89,0.92,0.62,0.0,0.5,0.51,0.72,0.89,0.52,0.5
hazelcast.csv,0.28,0.31,0.43,0.33,0.33,0.28,0.35,0.36,0.34,0.38,0.41,0.3,0.36,0.47,0.38,0.3
jitterbit.csv,0.34,0.36,0.64,0.54,0.41,0.49,0.63,0.92,0.62,0.84,0.45,0.62,0.43,0.47,0.44,0.45
jppf-project.csv,0.41,0.73,0.63,0.86,0.49,0.4,0.47,0.43,0.45,0.8,0.62,0.39,0.56,0.74,0.54,0.61
l2j.csv,0.41,0.31,0.47,0.38,0.42,0.37,0.43,0.44,0.4,0.43,0.47,0.41,0.38,0.49,0.56,0.4
megasquirtavr.csv,0.33,0.39,0.89,0.41,0.4,0.3,0.42,0.43,0.55,0.51,0.42,0.35,0.36,0.39,0.44,0.43
stajistics.csv,0.33,0.29,0.83,0.32,0.38,0.29,0.77,0.57,0.48,0.43,0.48,0.35,0.36,0.42,0.39,0.32
trackit.csv,0.63,0.82,0.95,0.67,0.68,0.88,0.54,0.92,0.91,0.72,0.85,0.77,0.8,0.9,0.77,0.7
wxlua.csv,0.86,0.44,0.62,0.47,0.94,0.94,0.73,0.5,0.75,0.56,0.4,0.7,0.59,0.61,0.95,0.5
x4x.csv,0.44,0.35,0.5,0.54,0.62,0.54,0.6,0.56,0.55,0.68,0.41,0.46,0.53,0.42,0.67,0.37
xharbour.csv,0.35,0.36,0.57,0.46,0.43,0.33,0.45,0.49,0.46,0.64,0.45,0.55,0.56,0.44,0.46,0.41
