,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.0,0.77,0.0,0.64,0.76,0.62,0.62,0.44,0.35,0.29,0.74,0.38,0.66,0.67,0.7,0.61
betoffice.csv,0.53,0.34,0.42,0.38,0.0,0.44,0.17,0.6,0.28,0.39,0.44,0.38,0.38,0.54,0.44,0.6
bionote.csv,0.45,0.79,0.35,0.21,0.32,0.0,0.2,0.35,0.4,0.29,0.33,0.44,0.96,0.57,0.51,0.45
bnetd.csv,0.49,0.0,0.38,0.48,0.4,0.47,0.41,0.0,0.65,0.54,0.71,0.0,0.63,0.0,0.24,0.47
elvishrayrenderer.csv,0.59,0.53,0.12,0.69,0.77,0.71,0.23,0.09,0.3,0.44,0.49,0.46,0.73,0.35,0.64,0.69
emisview.csv,0.33,0.0,0.4,0.5,0.5,0.71,0.24,0.16,0.58,0.0,0.56,0.4,0.53,0.2,0.54,0.07
hazelcast.csv,0.47,0.66,0.63,0.61,0.96,0.42,0.48,0.58,0.47,0.58,0.59,0.67,0.63,0.43,0.66,0.59
jitterbit.csv,0.0,0.73,0.6,0.64,0.34,0.49,0.38,0.05,0.72,0.22,0.32,0.39,0.59,0.56,0.59,0.61
jppf-project.csv,0.41,0.4,0.47,0.3,0.61,0.4,0.52,0.46,0.41,0.45,0.45,0.81,0.57,0.44,0.57,0.4
l2j.csv,0.47,0.64,0.53,0.64,0.62,0.61,0.46,0.54,0.61,0.52,0.61,0.46,0.54,0.72,0.51,0.51
megasquirtavr.csv,0.0,0.0,0.4,0.09,0.0,0.0,0.32,0.37,0.58,0.4,0.0,0.39,0.17,0.05,0.35,0.46
stajistics.csv,0.6,0.67,0.18,0.65,0.64,0.53,0.23,0.4,0.58,0.42,0.57,0.35,0.7,0.6,0.72,0.71
trackit.csv,0.4,0.34,0.29,0.46,0.38,0.2,0.64,0.11,0.3,0.5,0.26,0.4,0.15,0.29,0.31,0.36
wxlua.csv,0.3,0.35,0.45,0.43,0.22,0.2,0.45,0.0,0.51,0.73,0.13,0.4,0.48,0.47,0.23,0.5
x4x.csv,0.74,0.66,0.67,0.54,0.48,0.67,0.53,0.54,0.59,0.22,0.67,0.31,0.4,0.54,0.56,0.6
xharbour.csv,0.0,0.79,0.61,0.68,0.63,0.48,0.62,0.52,0.61,0.62,0.32,0.38,0.75,0.61,0.56,0.59
