,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.26,0.45,0.6,0.54,0.64,0.52,0.55,0.55,0.5,0.8,0.5,0.54,0.38,0.94,0.71,0.45,0.48,0.92,0.33
dspace-gsoc.csv,0.41,0.39,0.35,0.53,0.34,0.3,0.42,0.47,0.39,0.28,0.32,0.34,0.36,0.33,0.43,0.51,0.5,0.54,0.33
grisbi.csv,0.26,0.43,0.44,0.53,0.45,0.34,0.45,0.36,0.45,0.28,0.37,0.37,0.31,0.37,0.45,0.44,0.42,0.38,0.31
maidsafe-dht.csv,0.99,0.86,0.63,0.72,0.56,0.38,0.52,0.52,0.46,0.27,0.83,0.47,0.39,0.5,0.62,0.43,0.0,0.78,0.33
mesa3d.csv,0.55,0.46,0.89,0.66,0.42,0.48,0.47,0.43,0.43,0.61,0.33,0.42,0.58,0.51,0.46,0.48,0.0,0.92,0.41
n2cms.csv,0.43,0.54,0.41,0.76,0.43,0.36,0.48,0.34,0.55,0.27,0.61,0.37,0.38,0.33,0.41,0.44,0.41,0.38,0.3
nassp.csv,0.0,0.91,0.44,0.75,0.86,0.56,0.52,0.53,0.96,0.61,0.75,0.6,0.67,0.94,0.47,0.55,0.65,0.75,0.89
ninject.csv,0.39,0.62,0.8,0.8,0.53,0.59,0.94,0.56,0.64,0.6,0.0,0.52,0.5,0.37,0.81,0.71,0.6,0.42,0.32
nug.csv,0.86,0.61,0.91,0.98,0.92,0.65,0.94,0.7,0.57,0.83,0.68,0.85,0.62,0.9,0.9,0.71,0.79,0.78,0.0
nuttx.csv,0.99,0.83,0.78,0.7,0.92,0.43,0.61,0.64,0.96,0.93,0.37,0.5,0.67,0.69,0.47,0.97,0.0,0.71,0.9
oorexx.csv,0.49,0.77,0.42,0.64,0.5,0.34,0.45,0.48,0.67,0.36,0.35,0.45,0.9,0.84,0.46,0.47,0.75,0.43,0.48
oppna-program-hsatools.csv,0.26,0.44,0.44,0.55,0.43,0.33,0.46,0.35,0.46,0.28,0.0,0.41,0.31,0.46,0.55,0.46,0.38,0.38,0.32
redshell.csv,0.27,0.96,0.97,0.58,0.68,0.66,0.6,0.56,0.54,0.9,0.43,0.45,0.0,0.39,0.57,0.7,0.53,0.84,0.45
super-tux.csv,0.43,0.59,0.63,0.62,0.43,0.53,0.58,0.48,0.54,0.49,0.36,0.47,0.31,0.39,0.43,0.49,0.0,0.72,0.41
tart.csv,0.0,0.81,0.45,0.92,0.57,0.46,0.51,0.48,0.56,0.32,0.38,0.65,0.42,0.36,0.52,0.94,0.67,0.52,0.8
tcvp.csv,0.0,0.91,0.0,0.0,0.67,0.0,0.0,0.67,0.95,0.0,0.77,0.94,0.0,0.65,0.5,0.86,0.67,0.0,0.0
vdsf.csv,0.94,0.47,0.45,0.64,0.43,0.39,0.49,0.38,0.44,0.35,0.62,0.42,0.31,0.36,0.51,0.47,0.38,0.43,0.33
web-cat.csv,0.55,0.46,0.45,0.66,0.39,0.38,0.49,0.38,0.45,0.32,0.37,0.39,0.34,0.35,0.48,0.59,0.43,0.41,0.58
zabbix.csv,0.99,0.44,0.44,0.69,0.59,0.34,0.44,0.43,0.58,0.4,0.41,0.43,0.44,0.73,0.45,0.45,0.38,0.57,0.76
