,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.5,0.83,0.02,0.2,0.5,0.72,0.49
libtorrent.csv,0.82,0.49,0.13,0.46,0.84,0.84,0.68
mcmc-jags.csv,0.51,0.48,0.09,0.76,0.78,0.77,0.68
olap-navigator.csv,0.9,0.47,0.15,0.51,0.75,0.66,0.6
pidgin.csv,0.74,0.52,0.1,0.5,0.81,0.67,0.64
sepgsql.csv,0.76,0.48,0.19,0.33,0.75,0.54,0.61
xstore.csv,0.58,0.32,0.09,0.48,0.82,0.48,0.69
