,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.43,0.4,0.39,0.58,0.46,0.58,0.43,0.29,0.62,0.49,0.6,0.41,0.41,0.32,0.97,0.4,0.39,1.0,0.54,0.79
ardour.csv,0.38,0.21,0.21,0.26,0.01,0.08,0.33,0.16,0.21,0.36,0.28,0.38,0.34,0.15,0.31,0.07,0.34,0.65,0.21,0.66
arianne.csv,0.69,0.26,0.98,0.95,0.78,1.0,0.89,1.0,0.97,0.97,1.0,1.0,0.94,0.9,0.96,0.27,0.82,0.94,0.99,1.0
bacnet.csv,0.26,0.46,0.19,0.29,0.22,0.25,0.28,0.13,0.33,0.27,0.26,0.27,0.45,0.14,0.32,0.07,0.23,0.36,0.52,0.52
cortex-vfx.csv,0.31,0.26,0.27,0.35,0.07,0.08,0.22,0.18,0.22,0.45,0.07,0.09,0.28,0.22,0.28,0.27,0.27,0.22,0.12,0.55
emeraldemu.csv,0.75,0.63,0.34,0.2,0.01,0.0,0.04,0.0,0.24,0.03,0.0,0.0,0.17,0.25,0.54,0.0,0.16,0.68,0.06,0.72
fritzing.csv,0.29,0.2,0.32,0.35,0.21,0.25,0.37,0.21,0.1,0.59,0.13,0.3,0.76,0.24,0.27,0.13,0.18,0.14,0.46,0.69
gnupdate.csv,0.82,0.47,0.81,0.63,0.74,0.46,0.63,0.63,0.86,0.51,0.16,0.45,0.49,0.42,0.34,0.8,0.5,0.81,0.19,0.66
grafx2.csv,0.6,0.41,0.25,0.27,0.03,0.33,0.39,0.16,0.25,0.41,0.09,0.29,0.51,0.44,0.26,0.07,0.39,0.14,0.28,0.59
gstreamer.csv,0.77,0.76,0.75,0.7,0.94,0.33,0.57,0.32,0.74,0.5,0.59,0.86,0.61,0.49,0.5,0.93,0.64,0.95,0.27,0.86
keyczar.csv,0.12,0.19,0.19,0.27,0.4,0.29,0.24,0.21,0.32,0.05,0.12,0.44,0.1,0.17,0.0,0.2,0.16,0.0,0.14,0.03
linux-ntfs.csv,0.21,0.61,0.36,0.63,0.31,0.21,0.78,0.24,0.44,0.7,0.34,0.57,0.48,0.42,0.17,0.47,0.59,0.23,0.66,0.48
multitude.csv,0.64,0.56,0.83,0.62,0.72,0.33,0.46,0.32,0.63,0.7,0.63,0.85,0.83,0.31,0.34,0.67,0.57,0.89,0.12,0.97
planeshift.csv,0.77,0.77,0.76,0.65,0.65,0.54,0.35,0.26,0.64,0.81,0.9,0.8,0.9,0.83,0.96,0.67,0.68,0.99,0.7,1.0
rsyslog.csv,0.64,0.58,0.87,0.5,0.03,0.29,0.52,0.21,0.39,0.11,0.16,0.29,0.59,0.59,0.41,0.2,0.77,0.94,0.32,0.86
salasaga.csv,0.23,0.41,0.42,0.45,0.66,0.29,0.39,0.21,0.3,0.39,0.43,0.38,0.69,0.14,0.29,0.07,0.34,0.32,0.46,0.72
wow-qrsk.csv,0.06,0.46,0.35,0.26,0.0,0.0,0.15,0.0,0.26,0.38,0.02,0.08,0.06,0.07,0.72,0.0,0.02,0.58,0.07,0.69
xmoto.csv,0.16,0.27,0.39,0.42,0.35,0.58,0.33,0.29,0.28,0.31,0.6,0.54,0.42,0.49,0.93,0.53,0.23,0.23,0.97,0.97
xuggle.csv,0.27,0.53,0.22,0.38,0.12,0.33,0.74,0.55,0.26,0.74,0.69,0.66,0.69,0.47,0.28,0.2,0.32,0.22,0.83,0.79
yield.csv,0.71,0.72,0.44,0.59,0.18,0.46,0.61,0.39,0.44,0.74,0.5,0.59,0.72,0.56,0.69,0.27,0.5,0.94,0.68,0.72
