,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beast-mcmc.csv,1.0,0.93,0.36,0.99,0.82,0.9,1.0,0.73,1.0,1.0,0.68,1.0,0.71,1.0,0.99,0.71,1.0
bscwweasel.csv,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.88,1.0,1.0,1.0,1.0,0.66
codeblocks.csv,0.68,0.81,1.0,0.66,1.0,0.72,1.0,1.0,0.85,0.58,0.9,0.69,0.96,1.0,1.0,1.0,0.79
gamestone.csv,1.0,0.25,0.97,0.96,0.91,0.82,1.0,0.79,1.0,1.0,0.86,1.0,0.85,1.0,0.98,0.92,0.98
iaml.csv,0.58,0.37,0.64,0.77,0.68,0.54,0.67,0.68,0.61,0.76,0.42,0.56,0.53,0.44,0.67,0.75,0.79
jbasic.csv,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.42,1.0,0.84,1.0,1.0,1.0,1.0,0.73
modplug.csv,0.95,0.86,0.84,1.0,0.88,0.91,0.59,1.01,0.6,0.98,0.9,0.95,1.0,0.99,0.98,0.31,0.96
pdfedit.csv,0.69,0.67,0.72,0.81,0.35,0.75,0.68,0.6,0.65,0.9,0.74,0.77,0.9,0.4,0.45,0.56,0.74
redshell.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sabbu.csv,0.32,0.9,0.94,0.81,0.98,0.87,1.0,0.98,0.85,0.76,0.85,0.78,0.95,1.0,0.79,1.0,0.7
silvertree.csv,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,0.58,1.0,0.38,1.0,1.0,1.0,1.0,0.57
t-2.csv,1.0,1.0,0.97,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.9,1.0,0.68,1.0,1.0,1.0,1.0
xinity.csv,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.7,1.0,1.0,1.0,1.0,0.29
xreal.csv,1.0,1.0,1.01,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0
zabbix.csv,0.77,0.77,1.0,0.72,1.0,0.95,1.0,1.0,0.82,0.59,0.98,0.77,0.99,1.0,0.2,1.0,0.63
zengine.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
