,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.49,0.66,0.55,0.62,0.59,0.35,0.53,0.69,0.09,0.58,0.65,0.38,0.6,0.42
customwars.csv,0.59,0.6,0.62,0.58,0.5,0.22,0.37,0.5,0.5,0.32,0.83,0.42,0.58,0.55
firebreath.csv,0.57,0.61,0.7,0.45,0.62,0.29,0.65,0.67,0.66,0.58,0.72,0.35,0.72,0.65
gss.csv,0.6,0.64,0.64,0.6,0.63,0.61,0.5,0.71,0.43,0.5,0.64,0.4,0.68,0.66
irplus.csv,0.57,0.65,0.63,0.74,0.57,0.45,0.51,0.47,0.7,0.61,0.73,0.42,0.57,0.45
kwave.csv,0.55,0.57,0.17,0.57,0.0,0.48,0.6,0.55,0.53,0.64,0.0,0.5,0.72,0.2
liferea.csv,0.65,0.6,0.62,0.7,0.69,0.34,0.46,0.68,0.39,0.57,0.6,0.57,0.4,0.52
plearn.csv,0.61,0.49,0.26,0.46,0.43,0.0,0.21,0.54,0.36,0.5,0.65,0.56,0.26,0.4
psrchive.csv,0.55,0.51,0.34,0.61,0.6,0.14,0.5,0.46,0.5,0.32,0.84,0.45,0.41,0.31
qcad2.csv,0.41,0.49,0.46,0.52,0.56,0.29,0.49,0.76,0.6,0.5,0.72,0.54,0.56,0.68
tzod.csv,0.58,0.2,0.64,0.61,0.78,0.42,0.36,0.63,0.07,0.32,0.61,0.52,0.46,0.45
wxcode.csv,0.48,0.36,0.31,0.41,0.42,0.07,0.31,0.56,0.33,0.45,0.96,0.49,0.41,0.35
xinity.csv,0.44,0.38,0.47,0.08,0.0,0.35,0.38,0.29,0.49,0.19,0.34,0.79,0.48,0.2
xmoto.csv,0.56,0.42,0.37,0.58,0.21,0.0,0.56,0.55,0.5,0.4,0.62,0.46,0.7,0.24
