,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.79,0.67,0.83,0.88,0.71,0.5,0.97,0.96,0.86,0.0,0.56
ivatamasks.csv,0.42,0.36,0.32,0.43,0.46,0.44,0.45,0.43,0.37,0.38,0.37
java-gnome.csv,0.52,0.39,0.43,0.58,0.49,0.47,0.55,0.56,0.42,0.8,0.55
orc.csv,0.79,0.92,0.94,0.93,0.86,0.5,0.98,0.96,0.0,0.0,0.8
plato.csv,0.4,0.52,0.38,0.61,0.53,0.45,0.5,0.57,0.45,0.5,0.46
rodin-b-sharp.csv,0.77,0.98,0.94,0.91,0.86,0.67,0.69,0.95,0.49,0.0,0.99
tycho.csv,0.85,0.64,0.44,0.73,0.52,0.52,0.6,0.6,0.49,0.54,0.63
umber.csv,0.58,0.97,0.95,0.72,0.94,0.67,0.98,0.7,0.42,0.86,0.97
unicase.csv,0.43,0.39,0.41,0.47,0.6,0.41,0.47,0.53,0.44,0.63,0.44
vienna-add-in.csv,0.54,0.4,0.39,0.51,0.52,0.54,0.57,0.5,0.48,0.69,0.54
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.35,0.38,0.4,0.38,0.4,0.39
