,owlib.csv,baadengine.csv,barracudamvc.csv,sidekar.csv,springside.csv,jgnash.csv,jsr308-langtools.csv,owlapi.csv,ingex.csv
baadengine.csv,0.05,0.8,0.0,0.66,0.57,0.67,0.47,0.05,0.0
barracudamvc.csv,0.28,0.0,0.68,0.0,0.0,0.05,0.2,0.17,0.3
ingex.csv,0.42,0.4,0.51,0.56,0.38,0.66,0.71,0.55,0.52
jgnash.csv,0.43,0.43,0.49,0.59,0.57,0.71,0.63,0.61,0.64
jsr308-langtools.csv,0.59,0.41,0.21,0.0,0.0,0.6,0.93,0.55,0.58
owlapi.csv,0.25,0.44,0.07,0.31,0.49,0.36,0.59,0.79,0.57
owlib.csv,0.7,0.45,0.52,0.47,0.17,0.62,0.45,0.55,0.59
sidekar.csv,0.0,0.0,0.1,0.78,0.0,0.0,0.0,0.0,0.0
springside.csv,0.47,0.5,0.61,0.54,0.79,0.54,0.52,0.64,0.59
