,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.61,0.45,0.36,0.09,1.0,0.36,0.33,0.6,0.75,0.21
chaperon.csv,0.59,0.33,0.33,1.0,1.0,0.5,0.29,0.67,0.91,0.3
geotools.csv,0.68,0.71,0.31,0.0,1.0,1.0,1.0,0.6,0.78,0.26
l2j.csv,0.69,0.52,0.35,0.14,0.93,0.41,0.37,0.62,0.99,0.26
mule.csv,0.99,0.44,0.21,0.15,0.92,0.53,0.34,0.6,0.86,0.38
nunit.csv,0.61,0.53,0.38,0.14,0.91,0.85,0.31,0.67,0.89,1.0
primefaces.csv,0.61,0.52,0.4,0.09,0.9,0.41,0.33,1.0,0.71,0.27
springside.csv,0.69,1.0,0.24,0.09,0.92,0.5,0.32,0.62,0.7,0.21
swtfox.csv,0.75,0.22,1.0,0.0,0.92,0.36,0.22,0.53,0.68,0.12
twostep.csv,0.6,0.22,0.55,0.07,0.93,1.0,0.31,0.6,0.81,0.27
