,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.95,0.52,1.0,0.67,0.0,1.0,0.76,0.76,0.76,0.86
chaperon.csv,0.9,0.96,0.84,0.0,0.77,0.92,0.94,0.9,0.9,0.7
geotools.csv,0.76,0.9,0.81,1.02,0.62,0.77,0.06,0.93,0.9,0.77
l2j.csv,0.58,0.52,0.87,0.45,0.71,0.78,0.59,0.74,0.03,0.59
mule.csv,0.03,0.77,0.94,0.55,0.82,0.47,0.62,0.76,0.68,0.53
nunit.csv,0.72,0.56,0.72,0.76,0.86,0.58,0.72,0.95,0.54,0.12
primefaces.csv,0.8,0.43,0.85,0.71,0.91,0.8,0.74,0.05,0.8,0.65
springside.csv,0.57,0.0,0.97,0.71,0.83,0.52,0.67,0.79,0.79,0.75
swtfox.csv,0.75,0.92,0.05,1.15,0.76,0.86,0.81,0.8,0.78,0.89
twostep.csv,0.73,0.92,0.61,0.75,0.8,0.08,0.69,0.72,0.53,0.58
