,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.96,0.71,0.92,0.75,1.0,0.96,0.94,0.72,0.9,0.88
chaperon.csv,0.11,0.04,0.2,1.0,0.23,0.08,0.06,0.1,0.1,0.32
geotools.csv,0.26,0.1,0.28,0.0,0.38,0.23,0.94,0.08,0.11,0.25
l2j.csv,0.77,0.55,0.7,0.75,0.5,0.92,0.8,0.32,0.98,0.7
mule.csv,0.97,0.24,0.25,0.5,0.21,0.69,0.52,0.3,0.33,0.52
nunit.csv,0.38,0.49,0.4,0.25,0.57,0.42,0.35,0.05,0.48,0.88
primefaces.csv,0.77,0.78,0.9,0.75,0.48,0.96,0.89,0.95,0.73,0.88
springside.csv,0.72,1.0,0.38,0.75,0.64,0.88,0.75,0.88,0.61,0.7
swtfox.csv,0.26,0.35,0.95,0.0,0.43,0.15,0.33,0.42,0.48,0.2
twostep.csv,0.39,0.37,0.42,0.5,0.71,0.92,0.42,0.65,0.6,0.7
