,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.95,0.44,1.0,0.62,0.0,1.0,0.76,0.7,0.75,0.85
chaperon.csv,0.12,0.04,0.25,0.0,0.0,0.04,0.06,0.07,0.03,0.2
geotools.csv,0.19,0.02,0.37,0.19,0.0,0.0,0.0,0.07,0.08,0.18
l2j.csv,0.53,0.26,0.82,0.38,0.5,0.78,0.55,0.3,0.03,0.51
mule.csv,0.02,0.16,0.57,0.23,0.25,0.36,0.4,0.3,0.14,0.23
nunit.csv,0.37,0.22,0.4,0.12,0.75,0.04,0.32,0.04,0.14,0.0
primefaces.csv,0.77,0.36,0.85,0.67,0.75,0.8,0.73,0.0,0.75,0.64
springside.csv,0.49,0.0,0.74,0.67,0.75,0.51,0.62,0.78,0.68,0.69
swtfox.csv,0.14,0.65,0.0,0.56,0.5,0.16,0.46,0.56,0.58,0.39
twostep.csv,0.4,0.67,0.22,0.56,0.75,0.0,0.38,0.63,0.36,0.5
