,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.37,0.45,0.37,0.42,0.43,0.41,0.36,0.31,0.41,0.35
chaperon.csv,0.96,0.83,0.92,0.75,0.92,0.75,0.94,0.83,0.95,0.91
geotools.csv,0.66,0.86,0.49,0.78,0.67,0.83,0.69,0.8,0.96,0.82
l2j.csv,0.35,0.5,0.41,0.48,0.4,0.42,0.4,0.52,0.45,0.42
mule.csv,0.46,0.74,0.43,0.54,0.69,0.41,0.43,0.65,0.68,0.59
nunit.csv,0.54,0.58,0.62,0.86,0.66,0.69,0.65,0.67,0.72,0.94
primefaces.csv,0.41,0.41,0.4,0.4,0.6,0.43,0.4,0.45,0.42,0.42
springside.csv,0.39,0.59,0.41,0.4,0.41,0.33,0.37,0.3,0.42,0.37
swtfox.csv,0.8,0.82,0.71,0.74,0.77,0.91,0.79,0.62,0.71,0.84
twostep.csv,0.68,0.78,0.61,0.66,0.49,0.5,0.63,0.51,0.59,0.59
