,paintown.csv,google-collections.csv,smbopensoft.csv,forester-atv.csv,thout.csv,jsecurity.csv,cleartk.csv,opensim4opencog.csv
cleartk.csv,0.42,0.97,0.49,0.49,0.35,0.24,0.99,0.15
forester-atv.csv,0.5,0.98,0.53,0.57,0.25,0.14,0.94,0.13
google-collections.csv,0.49,1.0,0.49,0.38,0.23,0.19,0.88,0.12
jsecurity.csv,0.72,1.0,0.56,0.46,0.36,0.38,0.71,0.19
opensim4opencog.csv,0.72,0.96,0.43,0.4,0.32,0.18,0.88,0.24
paintown.csv,0.75,0.97,0.49,0.4,0.24,0.18,0.88,0.19
smbopensoft.csv,0.41,0.97,0.78,0.45,0.22,0.22,0.93,0.11
thout.csv,0.38,0.97,0.61,0.55,0.48,0.24,0.93,0.12
