,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.41,0.54,0.46,0.47,0.7,0.79,0.85,0.24,0.28,0.13,0.88,0.06,0.06,0.09,0.7
continuum-ide.csv,0.35,0.27,0.06,0.0,0.11,0.42,0.0,0.88,0.17,0.14,0.5,0.07,0.0,0.11,0.55
fleet-simulator.csv,0.96,0.88,0.83,1.0,0.96,1.0,0.79,1.0,1.0,0.95,1.0,0.79,0.98,0.49,0.97
hydrate.csv,0.59,0.54,0.71,0.3,0.37,0.79,0.82,0.82,0.67,0.5,0.62,0.54,0.72,0.91,0.55
ivef-sdk.csv,0.75,0.45,0.67,1.0,0.52,1.0,0.42,0.18,0.11,0.61,0.0,0.56,0.0,0.31,0.0
jmri.csv,0.41,0.25,0.61,0.17,0.15,0.57,0.52,0.76,0.67,0.24,0.5,0.33,0.17,0.17,0.27
kdenlive.csv,0.72,0.64,0.5,0.4,0.56,0.16,0.33,1.0,1.0,0.41,0.88,0.49,0.83,0.51,0.94
mia.csv,0.1,0.2,0.19,0.1,0.3,0.45,0.0,0.29,0.61,0.32,0.5,0.25,0.48,0.11,0.33
ontopia.csv,0.7,0.83,0.55,0.57,0.26,0.21,0.58,0.0,0.72,0.75,0.38,0.42,0.59,0.09,0.36
opentibia.csv,0.32,0.78,0.43,0.33,0.48,0.01,0.91,0.24,0.17,0.32,0.62,0.26,0.5,0.86,0.79
runuomondains.csv,0.48,0.36,0.83,0.17,0.33,0.19,0.61,0.65,0.67,0.62,0.88,0.42,0.43,0.2,0.42
somap.csv,0.94,0.94,0.82,1.0,1.0,0.57,0.94,1.0,0.89,0.76,1.0,0.85,1.0,1.0,1.0
taverna.csv,0.34,0.33,0.15,0.17,0.67,0.09,0.73,0.0,0.56,0.39,0.5,0.26,0.93,0.8,0.15
tigermud.csv,0.34,0.37,0.75,0.03,0.48,0.0,0.06,0.76,0.11,0.42,0.5,0.51,0.61,0.71,0.85
x-ray-mule.csv,0.2,0.17,0.13,0.83,0.44,0.0,0.0,0.24,0.06,0.39,0.0,0.36,0.24,0.26,0.03
