,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.93,0.88,0.66,0.64,0.83,0.76,0.19,0.87,0.82,0.87,0.96,0.94,0.94,0.92,0.8
continuum-ide.csv,0.83,0.99,0.94,1.04,0.89,0.62,1.0,0.28,0.84,0.86,0.67,0.95,1.0,0.89,0.78
fleet-simulator.csv,0.82,0.92,0.81,1.0,1.0,1.0,0.58,1.0,0.98,0.93,1.0,1.02,0.02,0.7,1.0
hydrate.csv,0.56,0.57,0.74,0.81,0.72,0.99,0.74,0.66,0.54,0.99,0.55,0.49,1.04,0.91,0.62
ivef-sdk.csv,0.71,0.58,0.62,0.7,0.77,0.0,0.94,0.94,0.91,0.53,1.0,1.09,1.33,0.86,1.0
jmri.csv,0.6,0.75,0.49,0.95,0.99,0.43,0.75,0.63,0.76,0.84,0.55,0.75,0.83,0.83,0.79
kdenlive.csv,0.4,0.62,0.63,1.04,0.65,1.18,0.73,0.82,0.94,0.98,0.72,0.51,0.17,0.65,0.74
mia.csv,0.9,0.83,0.83,0.91,0.72,0.55,1.0,0.71,0.44,0.99,0.63,0.75,0.53,0.9,0.67
ontopia.csv,0.49,0.69,0.61,0.74,0.87,1.15,0.73,1.0,0.81,0.29,0.84,0.89,0.97,0.93,0.69
opentibia.csv,0.73,0.33,0.68,0.73,0.69,0.99,0.81,0.78,0.84,0.74,0.62,0.74,1.12,0.96,0.77
runuomondains.csv,0.55,0.64,0.56,1.06,0.81,1.26,0.84,0.54,0.55,0.52,0.24,0.61,1.05,0.91,0.68
somap.csv,1.0,0.92,0.82,0.85,0.89,1.09,0.83,1.0,0.94,1.03,0.95,0.15,1.0,1.0,1.0
taverna.csv,0.67,0.68,0.87,0.87,0.39,0.95,0.61,1.0,0.5,0.79,0.51,0.74,1.0,0.93,0.85
tigermud.csv,0.89,0.86,0.82,0.98,0.6,1.0,0.95,0.73,0.9,0.87,0.59,0.51,1.07,0.56,0.75
x-ray-mule.csv,0.84,0.83,0.89,0.26,0.74,1.0,1.04,0.78,0.95,0.62,1.0,0.64,1.07,0.75,0.97
