,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.57,0.64,0.96,0.61,0.6,0.41,0.62,0.97,0.45,0.74,0.35,0.79,0.77,0.95,0.6,0.34
biodwh.csv,0.92,0.89,0.37,0.75,0.73,1.0,0.79,0.81,0.93,0.81,0.88,0.96,0.85,0.38,0.97,0.56
bloodycore.csv,0.97,0.74,0.97,0.49,0.68,0.87,0.94,0.89,0.95,0.76,0.65,0.7,0.72,0.93,0.95,0.65
blue-c.csv,0.64,0.72,0.98,0.65,0.68,0.23,0.74,0.86,0.8,0.54,0.48,0.64,0.49,0.55,0.6,0.98
etics.csv,0.81,0.77,0.28,0.69,0.65,0.67,0.71,0.66,0.63,0.66,0.63,0.8,0.54,0.61,0.74,0.45
flexpay.csv,0.97,0.65,0.77,0.74,0.74,0.97,0.77,0.61,0.88,0.73,1.0,0.8,0.89,0.63,0.9,0.43
flylegacy.csv,0.72,0.49,0.89,0.61,0.94,0.57,0.82,0.77,0.65,0.67,0.57,0.52,0.76,0.64,0.97,0.75
ftm.csv,0.56,0.81,0.56,0.71,0.6,0.63,0.93,0.86,0.7,0.71,0.77,0.46,0.76,0.83,0.48,0.59
gzigzag.csv,0.75,0.6,0.56,0.63,0.55,0.7,0.69,0.69,0.44,0.85,0.68,0.72,0.79,0.65,0.56,0.31
img-browse-sort.csv,0.67,0.53,0.68,0.59,0.63,0.51,0.65,0.63,0.75,0.55,0.6,0.45,0.74,0.7,0.59,0.32
jcache.csv,0.77,0.86,0.5,0.74,0.78,1.0,0.68,0.67,0.83,0.66,0.81,0.7,0.88,0.54,0.81,0.19
jguard.csv,0.77,0.72,0.78,0.67,0.61,0.62,0.43,0.89,0.56,0.78,0.54,0.79,0.72,0.8,0.99,0.53
ppcboot.csv,0.93,0.87,0.64,0.87,0.75,1.0,0.86,0.99,0.98,0.49,0.98,0.75,0.9,0.7,0.86,1.0
qdvdauthor.csv,0.97,0.81,0.99,0.65,0.66,0.63,0.55,0.73,0.72,0.79,0.49,0.74,0.47,1.02,0.79,0.98
reactos-mirror.csv,0.46,0.69,0.98,0.68,0.65,0.53,0.67,0.75,0.57,1.0,0.61,0.47,0.58,0.55,0.89,0.47
unbvision.csv,0.54,0.81,0.55,0.7,0.57,0.63,0.7,0.84,0.32,0.79,0.53,0.7,0.4,0.68,0.65,0.98
