,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.05,0.07,0.17,0.05,0.02,0.05,0.04,0.06,0.06,0.04
etherboot.csv,0.0,0.24,0.58,0.96,0.33,0.46,0.29,0.16,0.4,0.4,0.48
ffigo.csv,0.44,0.31,0.43,0.52,0.38,0.59,0.43,0.54,0.98,0.57,0.53
gebr.csv,0.66,0.52,0.7,0.61,0.17,0.98,0.67,0.68,0.7,0.54,0.52
gpac.csv,0.23,0.39,0.73,0.37,0.96,0.35,0.38,0.5,0.25,0.38,0.58
libtorrent.csv,0.26,0.59,0.61,0.54,0.17,0.67,0.98,0.61,0.52,0.5,0.66
miranda.csv,0.45,0.14,0.1,0.5,0.5,0.54,0.34,0.31,0.41,0.4,0.99
modellus.csv,0.23,0.19,0.53,0.21,0.31,0.55,0.45,0.98,0.19,0.57,0.5
mplayer-ce.csv,0.61,0.52,0.46,0.48,0.59,0.0,0.49,0.43,0.49,0.97,0.52
nicepress.csv,0.24,0.36,0.98,0.11,0.36,0.42,0.34,0.02,0.09,0.47,0.48
vapor.csv,0.0,0.97,0.37,0.27,0.24,0.32,0.32,0.48,0.28,0.4,0.29
