,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.07,0.09,0.19,0.07,0.04,0.08,0.06,0.1,0.09,0.05
etherboot.csv,0.0,0.23,0.51,0.98,0.38,0.57,0.39,0.21,0.47,0.4,0.55
ffigo.csv,0.15,0.24,0.35,0.39,0.41,0.69,0.56,0.56,0.99,0.54,0.6
gebr.csv,0.16,0.41,0.57,0.43,0.66,0.99,0.85,0.68,0.78,0.58,0.78
gpac.csv,0.07,0.29,0.6,0.38,0.96,0.46,0.49,0.51,0.32,0.36,0.66
libtorrent.csv,0.11,0.45,0.5,0.36,0.64,0.74,0.99,0.68,0.74,0.6,0.77
miranda.csv,0.2,0.16,0.14,0.35,0.52,0.64,0.45,0.4,0.5,0.4,0.99
modellus.csv,0.06,0.16,0.47,0.2,0.38,0.69,0.57,0.99,0.27,0.53,0.57
mplayer-ce.csv,0.16,0.38,0.37,0.37,0.64,0.76,0.77,0.52,0.62,0.98,0.69
nicepress.csv,0.12,0.3,0.99,0.13,0.41,0.53,0.44,0.04,0.12,0.44,0.56
vapor.csv,0.0,0.98,0.36,0.25,0.29,0.42,0.42,0.48,0.37,0.4,0.36
