,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.65,0.61,0.49,1.0,0.68
freenet.csv,0.49,0.98,0.5,0.63,0.63
mediaportal.csv,0.42,0.44,0.52,0.29,0.92
onotoa.csv,0.46,0.49,1.0,0.53,0.44
sqlpower-library.csv,0.96,0.65,0.38,0.46,0.62
