,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.3,0.28,0.31,0.25,0.65,0.34,0.29,0.37,0.61,0.17,0.29,0.78,0.76,0.19,0.65,0.62,0.2
bwapi.csv,0.73,0.22,0.22,0.19,0.47,0.55,0.46,0.12,0.29,0.21,0.35,0.87,0.72,0.09,0.58,0.85,0.18
co-ode-owl-plugins.csv,0.56,0.37,0.38,0.2,0.75,0.5,0.33,0.62,0.62,0.17,0.1,0.5,0.31,0.09,0.55,0.73,0.13
firebreath.csv,0.51,0.3,0.25,0.25,0.73,0.61,0.23,0.13,0.59,0.26,0.1,0.76,0.58,0.21,0.46,0.41,0.18
frogatto.csv,0.73,0.24,0.25,0.26,0.6,0.57,0.51,0.15,0.59,0.32,0.36,0.79,0.69,0.1,0.69,0.38,0.28
gretl.csv,0.72,0.33,0.26,0.3,0.72,0.53,0.34,0.39,0.36,0.21,0.19,0.79,0.5,0.17,0.7,0.81,0.13
jasperreports.csv,0.45,0.18,0.22,0.15,0.45,0.53,0.41,0.1,0.21,0.18,0.37,0.77,0.71,0.47,0.34,0.23,0.03
konversation.csv,0.45,0.29,0.49,0.29,0.5,0.52,0.26,0.4,0.16,0.2,0.3,0.61,0.43,0.16,0.42,0.24,0.18
linuxsh.csv,0.49,0.48,0.09,0.22,0.6,0.25,0.0,0.62,0.62,0.14,0.0,0.24,0.17,0.0,0.57,0.69,0.0
moviesandbox.csv,0.73,0.37,0.34,0.25,0.7,0.52,0.13,0.4,0.65,0.21,0.1,0.29,0.27,0.13,0.51,0.43,0.15
ontomorphtab.csv,0.81,0.33,0.26,0.31,0.72,0.58,0.39,0.12,0.47,0.26,0.21,0.73,0.64,0.27,0.66,0.32,0.13
opengs.csv,0.33,0.26,0.43,0.36,0.68,0.37,0.17,0.2,0.7,0.23,0.0,0.6,0.52,0.11,0.55,0.51,0.24
scite-ru.csv,0.75,0.32,0.25,0.24,0.71,0.54,0.37,0.3,0.66,0.2,0.36,0.71,0.55,0.1,0.67,0.87,0.19
tokratan.csv,0.41,0.34,0.44,0.39,0.64,0.36,0.09,0.2,0.52,0.34,0.13,0.69,0.44,0.17,0.36,0.21,0.41
vrjuggler.csv,0.68,0.27,0.47,0.07,0.62,0.24,0.33,0.6,0.32,0.29,0.43,0.24,0.2,0.12,0.65,0.43,0.12
wxcode.csv,0.43,0.0,0.4,0.31,0.37,0.43,0.48,0.1,0.0,0.46,0.19,0.52,0.49,0.22,0.2,0.2,0.5
xuggle.csv,0.64,0.3,0.32,0.45,0.66,0.5,0.48,0.17,0.69,0.33,0.14,0.7,0.67,0.1,0.66,0.79,0.39
