,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.7,0.05,0.23,0.0,0.1,0.11,0.79,0.36,0.44,0.29,0.13,0.52,0.61
flylinkdc.csv,0.27,0.85,0.92,0.68,0.66,0.51,0.0,0.41,0.56,0.42,0.19,0.61,0.5
fw4spl.csv,0.34,0.36,0.29,0.45,0.28,0.32,0.07,0.61,0.34,0.31,0.1,0.53,0.5
grisbi.csv,0.84,0.97,0.89,0.77,0.98,0.78,0.14,0.96,0.82,0.77,0.82,0.56,0.8
mesa3d.csv,0.12,0.28,0.25,0.35,0.71,0.54,0.0,0.8,0.52,0.36,0.44,0.28,0.39
nuttx.csv,0.17,0.51,0.14,0.26,0.18,0.49,0.07,0.54,0.34,0.15,0.27,0.12,0.46
panda3d.csv,0.16,0.36,0.5,0.45,0.45,0.59,0.36,0.36,0.29,0.36,0.29,0.19,0.43
proftp.csv,0.09,0.0,0.12,0.45,0.08,0.24,0.14,0.0,0.13,0.21,0.06,0.0,0.24
qmmp.csv,0.52,0.64,0.47,0.58,0.93,0.38,0.36,0.92,0.66,0.42,0.18,0.76,0.59
skia.csv,0.34,0.18,0.23,0.42,0.24,0.41,0.21,0.07,0.39,0.35,0.11,0.24,0.28
tart.csv,0.52,0.28,0.57,0.68,0.65,0.78,0.5,0.92,0.22,0.19,0.48,0.09,0.54
tcvp.csv,0.03,0.0,0.02,0.03,0.05,0.0,0.0,0.23,0.12,0.05,0.0,0.0,0.2
utgb.csv,0.2,0.23,0.12,0.23,0.38,0.3,0.07,0.46,0.37,0.18,0.11,0.36,0.33
