,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.81,0.08,0.71,0.17,0.12,0.2,0.48,0.67,0.2,0.19,0.35,0.54,0.48
flylinkdc.csv,0.68,0.83,0.93,0.66,0.54,0.87,0.61,0.22,0.8,0.5,0.32,0.75,0.7
fw4spl.csv,0.43,0.3,0.24,0.66,0.62,0.17,0.44,0.67,0.4,0.4,0.17,0.54,0.57
grisbi.csv,0.92,0.99,0.86,0.91,0.96,0.97,0.83,1.0,1.0,0.85,0.78,0.84,0.96
mesa3d.csv,0.27,0.16,0.26,0.4,0.77,0.83,0.38,0.67,0.8,0.4,0.51,0.52,0.57
nuttx.csv,0.38,0.74,0.05,0.23,0.35,0.73,0.18,0.67,0.6,0.33,0.24,0.19,0.57
panda3d.csv,0.22,0.43,0.5,0.51,0.65,0.8,0.62,0.78,0.6,0.65,0.52,0.32,0.48
proftp.csv,0.3,0.0,0.14,0.51,0.21,0.8,0.5,0.0,0.2,0.42,0.06,0.0,0.43
qmmp.csv,0.7,0.62,0.6,0.43,0.98,0.57,0.73,0.78,0.6,0.4,0.65,0.65,0.43
skia.csv,0.54,0.09,0.31,0.4,0.46,0.73,0.55,0.0,0.6,0.48,0.14,0.42,0.57
tart.csv,0.65,0.14,0.4,0.71,0.73,1.0,0.89,1.0,1.0,0.33,0.56,0.17,0.61
tcvp.csv,0.03,0.0,0.02,0.0,0.04,0.0,0.02,0.78,0.0,0.0,0.0,0.0,0.04
utgb.csv,0.38,0.22,0.31,0.74,0.67,0.33,0.38,0.56,0.4,0.35,0.32,0.48,0.43
