,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.6,0.45,0.42,0.42,0.42,0.43,0.42,0.82,0.56,0.39,0.4,0.37,0.36,0.36
cubefs.csv,0.58,0.68,0.47,0.51,0.51,0.61,0.51,0.48,0.79,0.5,0.41,0.51,0.5,0.71
gisgraphy.csv,0.68,0.77,0.97,0.5,0.69,0.58,0.94,0.75,0.98,0.81,0.82,0.92,0.0,0.73
iaml.csv,0.53,0.51,0.42,0.57,0.58,0.41,0.57,0.77,0.62,0.44,0.42,0.38,0.37,0.54
ivatamasks.csv,0.42,0.53,0.35,0.43,0.41,0.5,0.42,0.85,0.67,0.36,0.44,0.38,0.33,0.38
kolmafia.csv,0.48,0.44,0.49,0.45,0.47,0.38,0.42,0.41,0.67,0.44,0.43,0.38,0.38,0.46
ogrehg.csv,0.94,0.7,0.9,0.77,0.94,0.65,0.98,0.92,0.73,0.55,0.93,0.74,0.5,0.92
olex2.csv,0.62,0.82,0.62,0.64,0.77,0.65,0.77,0.54,0.81,0.6,0.63,0.53,0.42,0.57
openwbem.csv,0.44,0.64,0.56,0.54,0.5,0.61,0.53,0.49,0.63,0.55,0.54,0.59,0.65,0.35
oppna-program-hsatools.csv,0.33,0.48,0.34,0.42,0.42,0.43,0.41,0.44,0.54,0.32,0.35,0.36,0.41,0.3
orc.csv,0.95,0.96,0.93,0.95,0.59,0.96,0.96,0.55,0.5,0.79,0.53,0.75,0.89,0.94
ta3d.csv,0.38,0.51,0.31,0.45,0.42,0.42,0.4,0.57,0.49,0.4,0.41,0.34,0.41,0.3
umber.csv,0.6,0.8,0.47,0.42,0.49,0.76,0.49,0.91,0.88,0.62,0.4,0.7,0.73,0.54
xcmetadataservicestoolkit.csv,0.41,0.65,0.32,0.46,0.6,0.58,0.44,0.9,0.5,0.39,0.36,0.37,0.35,0.44
