,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.6,0.57,0.29,0.52,0.15,0.76,0.06
java-gnome.csv,0.47,0.26,0.13,0.23,0.87,0.19,0.0
mb-unit.csv,0.96,0.78,0.64,0.3,0.61,0.79,0.11
mecat.csv,0.54,0.14,0.12,0.32,0.1,0.48,0.43
rodin-b-sharp.csv,0.58,0.39,0.8,0.21,0.87,0.53,0.04
unicase.csv,0.93,0.83,0.58,0.38,0.64,0.8,0.11
wpdev.csv,1.0,0.92,0.53,0.26,0.86,0.84,0.1
