,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.42,0.98,0.3,0.17,0.08,0.1,0.2,0.29,0.42,0.3
bibedt.csv,0.57,0.11,0.25,0.17,0.0,0.6,0.9,0.39,0.17,0.36
cascading.csv,0.26,0.24,0.58,0.67,0.42,0.7,0.7,0.4,1.0,0.27
firebreath.csv,0.82,0.89,0.95,0.7,0.25,0.85,0.6,0.75,0.56,0.51
fritzing.csv,0.94,0.96,0.47,0.23,0.08,0.45,0.4,0.49,0.32,0.93
httpcontentparser.csv,0.36,0.72,0.1,0.03,0.25,0.85,0.3,0.05,0.0,0.24
mpgravity.csv,0.32,0.59,0.2,0.4,1.0,0.35,0.2,0.29,0.26,0.25
patterntesting.csv,0.19,0.63,0.23,0.97,0.33,0.35,0.0,0.45,0.34,0.66
roller.csv,0.07,0.13,0.53,0.7,0.33,0.75,0.3,0.99,0.41,0.67
xfce.csv,0.58,0.69,0.52,0.77,0.83,0.75,0.5,0.83,0.66,0.94
