,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.7,0.5,0.69,0.96,0.8,0.91,0.54,0.77,0.77,0.71
bibedt.csv,0.55,0.93,0.87,0.8,0.0,0.76,0.89,0.7,0.86,0.65
cascading.csv,0.78,0.83,0.52,0.4,0.71,0.52,0.37,0.57,0.44,0.61
firebreath.csv,0.47,0.37,0.61,0.48,0.68,0.51,0.53,0.43,0.49,0.64
fritzing.csv,0.56,0.34,0.72,0.81,0.5,0.78,0.42,0.59,0.64,0.43
httpcontentparser.csv,0.79,0.41,0.9,0.0,0.7,0.94,0.65,0.8,0.0,0.97
mpgravity.csv,0.71,0.37,0.89,0.79,0.75,0.75,0.75,0.72,0.72,0.71
patterntesting.csv,0.97,0.38,0.88,0.57,0.82,0.86,0.89,0.52,0.54,0.38
roller.csv,0.9,0.93,0.58,0.4,0.75,0.57,0.7,0.44,0.52,0.4
xfce.csv,0.45,0.36,0.53,0.5,0.38,0.45,0.39,0.37,0.42,0.46
