,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.2,0.4,0.1,0.31,0.36,0.33,0.45,0.37,0.38,0.38,0.3
etherboot.csv,0.13,0.0,0.56,0.57,0.0,0.64,0.08,0.63,0.0,0.0,0.0
ffigo.csv,0.0,0.33,0.29,0.39,0.03,0.15,0.59,0.56,0.79,0.46,0.18
gebr.csv,0.16,0.44,0.52,0.44,0.69,0.74,0.85,0.66,0.75,0.62,0.8
gpac.csv,0.1,0.29,0.26,0.19,0.71,0.04,0.1,0.43,0.54,0.6,0.77
libtorrent.csv,0.13,0.48,0.49,0.41,0.67,0.73,0.83,0.71,0.69,0.6,0.7
miranda.csv,0.0,0.0,0.51,0.43,0.18,0.0,0.8,0.17,0.78,0.23,0.77
modellus.csv,0.09,0.39,0.53,0.39,0.67,0.65,0.58,0.78,0.58,0.62,0.8
mplayer-ce.csv,0.18,0.49,0.53,0.39,0.53,0.72,0.84,0.69,0.73,0.58,0.67
nicepress.csv,0.16,0.42,0.72,0.4,0.68,0.77,0.62,0.53,0.72,0.61,0.78
vapor.csv,0.13,0.57,0.52,0.41,0.0,0.84,0.8,0.58,0.66,0.0,0.0
