,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.52,0.83,0.17,0.02,0.29,0.5,0.0,1.0,0.17,0.47,0.08,0.45
emulemorph.csv,1.0,1.0,0.0,0.12,0.0,1.0,0.71,1.0,1.0,0.78,0.13,1.0
fulguro.csv,0.59,0.71,0.11,0.09,0.33,0.27,0.61,0.95,0.94,0.69,0.19,0.46
fw4spl.csv,0.69,0.81,0.26,0.0,0.41,0.25,0.47,1.0,0.68,0.51,0.14,0.41
gnome-jabber.csv,0.5,0.8,0.19,0.09,0.31,0.25,0.68,0.97,0.66,0.59,0.06,0.47
ipfilter.csv,0.55,0.73,0.11,0.06,0.48,0.3,0.58,0.95,0.96,0.71,0.16,0.42
ipfire-wall.csv,0.54,0.93,0.12,0.0,0.62,0.29,0.47,1.0,0.81,0.69,0.12,0.39
libmesh.csv,0.3,0.68,0.06,0.07,0.21,0.5,0.64,0.0,0.0,0.65,0.11,0.19
rockbox.csv,0.44,0.79,0.17,0.12,0.38,0.29,0.52,0.96,0.4,0.26,0.12,0.55
soar.csv,0.49,0.75,0.13,0.05,0.33,0.36,0.72,0.95,0.7,0.65,0.12,0.37
tencompetence.csv,0.6,0.73,0.04,0.07,0.57,0.37,0.59,0.92,1.0,0.84,0.21,0.2
xbrlapi.csv,0.64,0.89,0.19,0.09,0.59,0.31,0.57,0.0,1.0,0.6,0.23,0.88
