,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.48,0.42,0.49,0.7,0.4,0.75,0.0,0.67,0.83,0.76,0.43,0.52
emulemorph.csv,0.0,0.5,0.0,0.62,0.0,0.0,0.86,0.0,0.8,0.97,0.93,0.5
fulguro.csv,0.43,0.84,0.63,0.51,0.72,0.55,0.42,0.55,0.88,0.73,0.68,0.62
fw4spl.csv,0.88,0.74,0.68,0.94,0.48,0.83,0.44,0.0,0.46,0.97,0.52,0.45
gnome-jabber.csv,0.5,0.45,0.46,0.39,0.44,0.45,0.46,0.47,0.34,0.5,0.58,0.38
ipfilter.csv,0.43,0.62,0.7,0.44,0.56,0.49,0.39,0.53,0.44,0.55,0.47,0.65
ipfire-wall.csv,0.49,0.66,0.92,0.94,0.46,0.82,0.38,0.91,0.46,0.83,0.47,0.52
libmesh.csv,0.9,0.97,0.99,0.93,0.79,0.83,0.93,0.0,0.0,0.99,0.86,0.81
rockbox.csv,0.94,0.48,0.4,0.94,0.42,0.46,0.35,0.43,0.9,0.9,0.4,0.34
soar.csv,0.41,0.41,0.46,0.41,0.36,0.49,0.72,0.52,0.39,0.51,0.41,0.45
tencompetence.csv,0.73,0.95,0.97,0.67,0.86,0.56,0.44,0.97,0.88,0.66,0.61,0.9
xbrlapi.csv,0.44,0.89,0.59,0.4,0.53,0.46,0.32,0.0,0.9,0.99,0.52,0.75
