,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.33,0.81,0.58,0.17,0.67,0.69,0.0,0.03,0.02,0.11,0.55,0.74
emulemorph.csv,0.02,0.02,0.0,0.67,0.0,0.04,0.16,0.01,0.11,0.17,0.18,0.11
fulguro.csv,0.86,0.3,0.42,1.0,0.33,0.35,0.65,0.86,0.35,0.55,0.55,0.58
fw4spl.csv,0.26,0.33,0.54,0.0,0.61,0.12,0.55,0.01,0.41,0.12,0.55,0.47
gnome-jabber.csv,0.45,0.66,0.73,1.0,0.56,0.19,0.81,0.62,0.67,0.43,0.18,0.84
ipfilter.csv,0.76,0.56,0.4,1.0,0.67,0.5,0.68,0.98,0.93,0.9,1.0,0.58
ipfire-wall.csv,0.45,0.23,0.17,0.0,0.83,0.19,0.48,0.12,0.46,0.25,0.45,0.47
libmesh.csv,0.07,0.18,0.1,0.17,0.28,0.69,0.29,0.0,0.0,0.29,0.36,0.26
rockbox.csv,0.17,0.42,0.69,0.33,0.5,0.31,0.68,0.29,0.09,0.08,0.64,0.84
soar.csv,0.81,1.0,0.88,1.0,1.0,1.0,0.58,1.0,0.93,0.85,1.0,1.0
tencompetence.csv,0.43,0.14,0.08,0.5,0.44,0.81,0.61,0.38,0.17,0.81,0.73,0.11
xbrlapi.csv,0.69,0.07,0.35,0.83,0.56,0.31,0.87,0.0,0.22,0.25,0.64,0.37
