,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.32,0.49,0.42,0.4,0.81,0.39,0.0,0.0,0.26,0.22,0.87,0.53
emulemorph.csv,0.0,0.0,0.0,0.27,0.03,0.0,0.08,0.0,0.0,0.09,0.16,0.0
fulguro.csv,0.62,0.36,0.49,0.62,0.32,0.52,0.52,0.8,0.05,0.43,0.32,0.41
fw4spl.csv,0.12,0.23,0.23,0.15,0.43,0.2,0.76,0.0,0.47,0.21,0.48,0.41
gnome-jabber.csv,0.48,0.49,0.45,0.58,0.59,0.33,0.48,0.4,0.84,0.54,0.43,0.56
ipfilter.csv,0.65,0.62,0.48,0.85,0.35,0.65,0.6,1.0,0.11,0.66,0.72,0.47
ipfire-wall.csv,0.4,0.05,0.18,0.17,0.24,0.26,0.68,0.0,0.26,0.2,0.48,0.44
libmesh.csv,0.18,0.26,0.22,0.13,0.51,0.39,0.2,0.0,0.0,0.28,0.41,0.66
rockbox.csv,0.22,0.33,0.48,0.13,0.41,0.43,0.76,0.2,0.32,0.4,0.63,0.41
soar.csv,0.9,1.0,0.85,1.0,1.0,1.0,0.28,1.0,0.95,0.82,1.0,1.0
tencompetence.csv,0.3,0.15,0.33,0.38,0.16,0.78,0.52,0.6,0.0,0.27,0.38,0.25
xbrlapi.csv,0.4,0.03,0.23,0.48,0.19,0.39,0.8,0.0,0.0,0.29,0.3,0.03
