,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.29
flylinkdc.csv,0.41,0.58,0.34,0.19,0.36,0.86,0.62,0.37,0.56,0.59,0.06,0.29
graphmak.csv,0.0,0.0,0.0,0.16,0.67,0.0,0.0,0.0,0.0,0.59,0.06,0.29
igarden.csv,0.4,0.0,0.28,0.16,0.35,0.77,1.0,0.65,0.25,0.59,0.06,0.29
lsb.csv,0.4,0.0,0.32,0.17,0.35,0.79,0.64,0.33,0.86,0.59,0.06,0.29
olsrd.csv,0.35,0.0,0.0,0.16,0.36,0.9,0.0,0.0,0.0,0.59,0.06,0.29
pclasses.csv,0.43,0.27,0.31,0.71,0.33,0.0,0.44,0.3,0.11,0.0,0.0,0.0
plearn.csv,0.39,0.0,0.68,0.16,0.36,0.9,1.0,0.4,1.0,0.59,0.06,0.29
raven-monitoring.csv,0.88,0.27,0.29,0.0,0.25,0.77,0.44,0.3,0.25,0.0,0.0,0.0
rtb-team.csv,0.4,0.27,0.29,0.16,0.35,0.77,0.44,0.3,0.25,0.59,0.06,1.0
theresa.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0.38
xcsoar.csv,0.4,0.0,0.36,0.16,0.35,0.86,0.74,0.4,0.82,0.59,0.06,0.29
