,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.45
flylinkdc.csv,0.58,0.48,0.47,0.31,0.53,0.84,0.69,0.51,0.4,0.74,0.11,0.45
graphmak.csv,0.0,0.0,0.0,0.28,0.65,0.0,0.0,0.0,0.0,0.74,0.11,0.45
igarden.csv,0.57,0.0,0.39,0.28,0.52,0.87,0.35,0.51,0.38,0.74,0.11,0.45
lsb.csv,0.57,0.0,0.44,0.29,0.52,0.85,0.6,0.37,0.78,0.74,0.11,0.45
olsrd.csv,0.47,0.0,0.0,0.28,0.53,0.91,0.0,0.0,0.0,0.74,0.11,0.45
pclasses.csv,0.14,0.43,0.47,0.56,0.18,0.0,0.6,0.45,0.12,0.0,0.0,0.0
plearn.csv,0.54,0.0,0.44,0.28,0.53,0.83,0.04,0.11,0.04,0.74,0.11,0.45
raven-monitoring.csv,0.84,0.43,0.45,0.0,0.12,0.87,0.61,0.46,0.4,0.0,0.0,0.0
rtb-team.csv,0.57,0.43,0.45,0.28,0.52,0.87,0.61,0.46,0.4,0.74,0.11,0.85
theresa.csv,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.56,1.0,0.51
xcsoar.csv,0.57,0.0,0.47,0.28,0.52,0.85,0.73,0.48,0.69,0.74,0.11,0.45
