,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
flylinkdc.csv,0.09,0.46,0.64,0.55,0.09,0.75,0.74,0.67,0.36,0.0,0.0,0.0
graphmak.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.09,0.0
igarden.csv,0.0,0.0,0.54,0.0,0.0,0.0,0.25,0.47,0.34,0.0,0.0,0.0
lsb.csv,0.0,0.0,0.61,0.09,0.0,0.53,0.6,0.45,0.75,0.0,0.17,0.0
olsrd.csv,0.4,0.0,0.0,0.0,0.09,0.84,0.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.11,0.0,0.38,0.5,0.14,0.0,0.0,0.24,0.15,0.0,0.0,0.0
plearn.csv,0.09,0.0,0.37,0.0,0.09,0.76,0.02,0.07,0.02,0.0,0.0,0.0
raven-monitoring.csv,0.82,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rtb-team.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
theresa.csv,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.46,1.0,0.7
xcsoar.csv,0.0,0.0,0.63,0.0,0.0,0.76,0.73,0.61,0.65,0.0,0.0,0.0
