,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,86.0,135.0,204.0,6.0,70.0,87.0,126.0,102.0,181.0,0.0,52.0,1.0
flylinkdc.csv,0.0,0.0,3.0,7.0,4.0,1.0,3.0,1.0,0.0,0.0,49.0,1.0
graphmak.csv,86.0,135.0,204.0,1.0,0.0,87.0,126.0,102.0,181.0,0.0,48.0,1.0
igarden.csv,0.0,135.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,49.0,1.0
lsb.csv,0.0,135.0,6.0,1.0,5.0,0.0,4.0,5.0,0.0,0.0,47.0,1.0
olsrd.csv,2.0,135.0,204.0,1.0,4.0,0.0,126.0,102.0,181.0,0.0,49.0,1.0
pclasses.csv,0.0,6.0,5.0,0.0,3.0,87.0,0.0,4.0,4.0,69.0,52.0,51.0
plearn.csv,2.0,135.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,49.0,1.0
raven-monitoring.csv,0.0,6.0,5.0,66.0,5.0,0.0,0.0,4.0,1.0,69.0,52.0,51.0
rtb-team.csv,0.0,6.0,5.0,1.0,5.0,0.0,0.0,4.0,1.0,0.0,49.0,0.0
theresa.csv,86.0,135.0,204.0,1.0,70.0,87.0,126.0,102.0,181.0,0.0,0.0,1.0
xcsoar.csv,0.0,135.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,49.0,1.0
