,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,0.22,1.0,1.0
flylinkdc.csv,0.98,0.6,0.64,0.79,0.98,0.48,0.43,0.63,0.69,1.0,1.0,1.0
graphmak.csv,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.98,1.0
igarden.csv,1.0,1.0,0.76,1.0,1.0,1.0,0.79,0.59,0.9,1.0,1.0,1.0
lsb.csv,1.0,1.0,0.66,0.98,1.0,0.8,0.5,0.68,0.29,1.0,0.96,1.0
olsrd.csv,0.9,1.0,1.0,1.0,0.98,0.36,1.0,1.0,1.0,1.0,1.0,1.0
pclasses.csv,0.92,1.0,0.89,0.55,0.89,1.0,1.0,0.95,0.93,1.0,1.0,1.0
plearn.csv,0.98,1.0,0.68,1.0,0.98,0.37,0.98,0.94,0.98,1.0,1.0,1.0
raven-monitoring.csv,0.21,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rtb-team.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27
theresa.csv,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,0.59,0.0,0.58
xcsoar.csv,1.0,1.0,0.58,1.0,1.0,0.48,0.35,0.56,0.4,1.0,1.0,1.0
