,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.93,0.0,1.0
flylinkdc.csv,1.0,0.41,0.76,0.91,1.0,0.82,0.77,0.81,0.31,1.0,1.0,1.0
graphmak.csv,0.0,0.0,0.0,1.0,0.64,0.0,0.0,0.0,0.0,1.0,1.0,1.0
igarden.csv,1.0,0.0,0.63,1.0,1.0,1.0,0.21,0.42,0.89,1.0,1.0,1.0
lsb.csv,1.0,0.0,0.69,1.0,1.0,0.91,0.57,0.42,0.71,1.0,1.0,1.0
olsrd.csv,0.69,0.0,0.0,1.0,1.0,0.91,0.0,0.0,0.0,1.0,1.0,1.0
pclasses.csv,0.09,1.0,0.98,0.45,0.12,0.0,0.98,0.94,0.13,0.0,0.0,0.0
plearn.csv,0.91,0.0,0.32,1.0,1.0,0.78,0.02,0.06,0.02,1.0,1.0,1.0
raven-monitoring.csv,0.8,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0,0.0,0.0
rtb-team.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73
theresa.csv,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.41,1.0,0.8
xcsoar.csv,1.0,0.0,0.66,1.0,1.0,0.84,0.71,0.61,0.6,1.0,1.0,1.0
