,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.38
flylinkdc.csv,0.35,0.69,0.39,0.37,0.39,0.34,0.33,0.31,0.72,0.41,0.42,0.38
graphmak.csv,0.0,0.0,0.0,0.39,0.54,0.0,0.0,0.0,0.0,0.41,0.42,0.38
igarden.csv,0.36,0.0,0.5,0.39,0.39,0.44,0.92,0.8,0.6,0.41,0.42,0.38
lsb.csv,0.36,0.5,0.43,0.39,0.39,0.41,0.42,0.51,0.54,0.41,0.41,0.38
olsrd.csv,0.37,0.0,0.0,0.39,0.39,0.38,0.0,0.0,0.0,0.41,0.42,0.38
pclasses.csv,0.86,0.36,0.39,0.86,0.89,0.0,0.39,0.33,0.81,0.0,0.67,0.0
plearn.csv,0.35,0.0,0.86,0.39,0.39,0.32,0.0,0.8,0.0,0.41,0.42,0.38
raven-monitoring.csv,0.66,0.36,0.39,0.0,0.88,0.44,0.39,0.31,0.55,0.0,0.0,0.0
rtb-team.csv,0.36,0.36,0.39,0.39,0.39,0.44,0.39,0.31,0.55,0.41,0.42,0.73
theresa.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.67,0.38
xcsoar.csv,0.36,0.0,0.4,0.39,0.39,0.35,0.37,0.4,0.52,0.41,0.42,0.38
