,raven-monitoring.csv,flylinkdc.csv,plearn.csv,pclasses.csv,graphmak.csv,olsrd.csv,xcsoar.csv,igarden.csv,lsb.csv,atlc.csv,theresa.csv,rtb-team.csv
atlc.csv,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0
flylinkdc.csv,0.98,0.11,0.6,0.79,0.98,0.45,0.37,0.6,0.08,1.0,1.0,1.0
graphmak.csv,0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.98,1.0
igarden.csv,1.0,0.0,0.66,1.0,1.0,1.0,0.0,0.1,0.9,1.0,1.0,1.0
lsb.csv,1.0,0.02,0.59,0.98,1.0,0.8,0.25,0.36,0.04,1.0,0.96,1.0
olsrd.csv,0.85,0.0,0.0,1.0,0.98,0.35,0.0,0.0,0.0,1.0,1.0,1.0
pclasses.csv,0.08,1.0,0.89,0.04,0.13,0.0,1.0,0.94,0.35,0.0,0.06,0.0
plearn.csv,0.98,0.0,0.06,1.0,0.98,0.3,0.0,0.04,0.0,1.0,1.0,1.0
raven-monitoring.csv,0.08,1.0,1.0,0.0,0.13,1.0,1.0,1.0,1.0,0.0,0.0,0.0
rtb-team.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
theresa.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.54
xcsoar.csv,1.0,0.0,0.47,1.0,1.0,0.45,0.2,0.4,0.04,1.0,1.0,1.0
