,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.39,0.44,0.58,0.41,0.47,0.76,0.74,0.42,0.55,0.91,0.34,0.0,0.37,0.83,0.35
badtrinity-zero.csv,0.99,0.0,0.42,0.0,0.36,0.42,0.72,0.0,0.38,0.0,0.36,0.38,0.72,0.43,0.34
biodwh.csv,0.72,0.76,0.65,0.51,0.63,0.57,0.72,0.46,0.44,0.46,0.5,0.6,0.56,0.71,0.37
critterding.csv,0.54,0.62,0.5,0.49,0.42,0.47,0.45,0.46,0.48,0.39,0.39,0.47,0.4,0.49,0.38
elateportal.csv,0.42,0.53,0.51,0.48,0.4,0.51,0.4,0.52,0.44,0.97,0.31,0.41,0.32,0.45,0.35
enzo.csv,0.4,0.46,0.45,0.42,0.41,0.4,0.41,0.39,0.38,0.35,0.3,0.42,0.33,0.42,0.34
factor.csv,0.83,0.92,0.93,0.73,0.9,0.97,0.0,0.95,0.75,0.0,0.67,0.67,0.91,0.53,0.38
gusanos.csv,0.99,0.48,0.46,0.43,0.39,0.87,0.53,0.43,0.55,0.5,0.39,0.0,0.34,0.43,0.37
miranda.csv,0.0,0.0,0.65,0.0,0.38,0.43,0.5,0.0,0.55,0.0,0.33,0.39,0.91,0.8,0.36
modplug.csv,0.41,0.47,0.45,0.42,0.35,0.45,0.41,0.42,0.42,0.48,0.3,0.4,0.32,0.44,0.35
monetdb.csv,0.49,0.75,0.59,0.94,0.45,0.78,0.55,0.65,0.48,0.88,0.46,0.63,0.5,0.55,0.57
quarkplayer.csv,0.84,0.86,0.89,0.69,0.92,0.95,0.98,0.91,0.89,0.72,0.75,0.94,0.91,0.68,0.98
reactos-mirror.csv,0.55,0.54,0.51,0.53,0.37,0.56,0.49,0.47,0.43,0.43,0.3,0.39,0.5,0.8,0.35
sandiaportals.csv,0.67,0.58,0.54,0.48,0.48,0.77,0.53,0.51,0.62,0.78,0.5,0.47,0.62,0.54,0.44
xbplayer.csv,0.65,0.61,0.47,0.5,0.52,0.52,0.53,0.56,0.39,0.92,0.32,0.5,0.31,0.67,0.37
