,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.96,1.0,0.48,0.71,0.32,0.38,0.57,0.13,0.05,0.61,0.61,0.67,0.0
autofac.csv,0.97,0.83,0.81,0.73,0.45,0.32,0.62,0.14,0.04,0.46,0.61,0.79,0.05
coot.csv,0.97,0.0,0.67,0.7,0.29,0.34,0.0,0.1,0.03,0.5,0.74,0.66,0.06
dsworkbench.csv,1.0,0.9,0.62,0.93,0.33,0.38,0.64,0.5,0.0,0.26,0.46,0.74,0.0
emono.csv,0.96,0.65,0.37,0.72,0.29,0.32,0.54,0.08,0.03,0.45,0.6,0.78,0.09
exist.csv,0.98,0.78,0.5,0.78,0.29,0.36,0.79,0.11,0.0,0.47,0.56,0.73,0.07
freelords.csv,0.99,0.79,0.54,0.82,0.48,0.31,0.59,0.14,0.0,0.36,0.54,0.64,0.06
google-collections.csv,1.0,0.76,0.47,0.74,0.29,0.35,0.57,0.12,0.03,0.38,0.52,0.66,0.06
jchassis.csv,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.29,0.0,0.0,0.0,0.0
jpaul.csv,0.97,0.75,0.69,0.5,0.53,0.2,0.5,0.21,0.11,0.2,1.0,0.0,0.0
neodatis-odb.csv,0.96,0.86,0.48,0.74,0.23,0.6,0.58,0.1,0.04,0.41,0.68,0.84,0.2
octet.csv,1.0,0.79,0.52,0.79,0.24,0.5,0.54,0.38,0.0,0.4,0.58,0.6,0.04
thedata.csv,0.97,0.84,0.46,0.69,0.25,0.33,0.58,0.1,0.0,0.52,0.6,0.68,0.57
