,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.42,0.89,0.97,0.76,0.89,1.0,0.99,0.79,0.79,0.91
h2database.csv,0.47,0.38,0.89,0.47,0.56,0.65,0.87,0.64,0.78,0.96
hannosset.csv,0.98,0.75,0.84,0.81,0.86,0.3,0.94,0.83,0.86,1.01
jaql.csv,0.54,0.63,0.73,0.41,0.58,0.84,0.74,0.75,0.92,0.96
megameknet.csv,0.72,0.87,0.6,0.6,0.39,0.84,0.61,0.67,0.82,0.77
ngl.csv,0.95,0.7,0.56,0.66,0.47,0.87,0.82,0.5,0.53,0.84
qedo.csv,0.88,0.99,0.67,0.93,0.94,1.0,0.97,0.88,0.89,0.32
qmmp.csv,0.89,0.86,0.67,0.77,0.54,0.68,0.86,0.61,0.41,0.87
raven-monitoring.csv,0.78,0.81,0.45,0.71,0.58,0.93,0.65,0.85,0.97,0.67
v8.csv,0.95,0.61,0.9,0.87,0.76,0.49,0.29,0.83,0.93,0.83
