,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.37,0.15,0.05,0.37,0.18,0.0,0.03,0.34,0.33,0.09
h2database.csv,0.35,0.41,0.19,0.61,0.51,0.16,0.24,0.5,0.34,0.04
hannosset.csv,0.04,0.19,0.25,0.33,0.18,0.36,0.52,0.31,0.24,0.05
jaql.csv,0.29,0.28,0.37,0.65,0.48,0.17,0.41,0.38,0.14,0.04
megameknet.csv,0.23,0.2,0.52,0.51,0.54,0.15,0.74,0.56,0.55,0.13
ngl.csv,0.21,0.24,0.54,0.57,0.47,0.14,0.82,0.66,0.68,0.1
qedo.csv,0.1,0.02,0.44,0.13,0.1,0.0,0.31,0.23,0.5,0.37
qmmp.csv,0.22,0.25,0.58,0.53,0.44,0.2,0.74,0.62,0.7,0.1
raven-monitoring.csv,0.15,0.17,0.63,0.41,0.41,0.06,0.59,0.37,0.37,0.2
v8.csv,0.06,0.26,0.49,0.42,0.33,0.23,0.89,0.48,0.33,0.14
