,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.68,0.11,0.03,0.24,0.12,0.0,0.01,0.21,0.21,0.09
h2database.csv,0.59,0.72,0.11,0.68,0.45,0.5,0.14,0.4,0.22,0.09
hannosset.csv,0.02,0.3,0.2,0.34,0.16,0.83,0.37,0.24,0.14,0.18
jaql.csv,0.8,0.42,0.29,0.65,0.43,0.17,0.26,0.28,0.08,0.09
megameknet.csv,0.82,0.74,0.57,0.57,0.72,0.83,0.6,0.56,0.65,0.55
ngl.csv,0.95,0.77,0.57,0.78,0.68,0.83,0.72,0.65,0.75,0.32
qedo.csv,0.18,0.02,0.34,0.09,0.1,0.0,0.19,0.15,0.59,0.77
qmmp.csv,0.98,1.0,0.8,0.79,0.52,1.0,0.62,0.65,0.63,0.45
raven-monitoring.csv,0.34,0.49,0.66,0.43,0.48,0.17,0.42,0.33,0.4,0.36
v8.csv,0.09,0.49,0.74,0.6,0.67,0.83,0.82,0.48,0.32,0.68
