,ng4j.csv,autowikibrowser.csv,carabiner.csv,jitterbit.csv,benojt.csv,emftriple.csv,javagroups.csv
autowikibrowser.csv,0.32,0.67,0.5,0.38,1.0,0.03,0.45
benojt.csv,0.26,0.45,0.3,0.26,1.0,0.06,0.35
carabiner.csv,0.31,0.68,0.56,0.42,0.98,0.02,0.45
emftriple.csv,0.0,0.31,0.38,0.16,1.0,0.37,0.5
javagroups.csv,0.25,0.54,0.21,0.29,1.0,0.08,0.55
jitterbit.csv,0.43,0.57,0.29,0.56,0.96,0.19,0.34
ng4j.csv,0.46,0.53,0.32,0.34,0.97,0.11,0.41
