,ng4j.csv,autowikibrowser.csv,carabiner.csv,jitterbit.csv,benojt.csv,emftriple.csv,javagroups.csv
autowikibrowser.csv,0.65,0.68,0.55,0.72,0.68,0.18,0.87
benojt.csv,1.0,1.0,1.0,0.92,0.99,0.64,0.98
carabiner.csv,0.4,0.61,0.68,0.64,0.85,0.09,0.55
emftriple.csv,0.0,0.2,0.14,0.28,0.12,0.91,0.17
javagroups.csv,0.75,0.77,0.45,0.78,0.5,0.55,0.7
jitterbit.csv,0.6,0.64,0.86,0.7,0.8,0.64,0.87
ng4j.csv,0.9,0.86,0.59,0.75,0.84,0.82,0.6
