,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,0.5,0.25,0.37,0.08,0.16,0.21,0.07,0.0
geotools.csv,1.0,0.65,1.0,0.85,0.79,0.29,0.2,0.76
google-collections.csv,0.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
l2j.csv,0.0,0.98,0.93,0.54,0.84,0.48,0.39,0.31
mediate.csv,0.5,0.92,0.43,0.38,0.16,0.38,0.36,0.03
projectfactory.csv,0.5,0.5,0.7,0.31,0.37,0.51,0.45,0.21
st-filteredstatistics.csv,0.0,0.8,1.0,0.23,1.0,0.75,0.67,0.92
thedata.csv,1.0,0.5,0.8,0.85,0.81,0.57,0.7,0.08
