,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,0.09,0.85,0.56,0.15,0.13,0.31,0.26,0.0
geotools.csv,0.72,0.85,1.0,0.87,0.72,0.59,0.3,1.0
google-collections.csv,0.81,0.92,1.0,1.0,1.0,1.0,1.0,1.0
l2j.csv,0.08,0.96,1.0,0.49,0.87,0.41,0.75,0.25
mediate.csv,0.51,0.88,0.64,0.49,0.1,0.33,0.44,0.25
projectfactory.csv,0.24,0.73,0.74,0.59,0.56,0.8,0.7,0.5
st-filteredstatistics.csv,0.4,0.5,1.0,0.87,0.97,0.84,0.74,0.75
thedata.csv,0.7,0.81,0.79,0.87,0.92,0.56,0.85,1.0
