,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.89,0.86,0.72,0.67
miranda-icq.csv,0.38,0.83,0.82,0.72
red5.csv,0.46,0.0,0.48,0.74
thrust.csv,0.62,0.87,0.59,0.6
